,text,device,emotion
414,crazy big crowd apple store sxsw,,No emotion toward brand or product
415,read article google say rumor launch major new social network called,,No emotion toward brand or product
416,iphone come uj booth acc hall snap pic send em u fightthepaddle,,No emotion toward brand or product
417,shipment daily follow appleatxdt update pop apple store seems pop ipad2s,,Negative emotion
418,day i'm tired hold ipad week death happy death,,No emotion toward brand or product
419,beautiful day austin come grab slice two check google get deal,,No emotion toward brand or product
420,four day ipad weekend battlela,iPad,Positive emotion
421,iphone dead find secret batphone,iPhone,Negative emotion
422,google debut new selective social network today google circle,,No emotion toward brand or product
423,trying decide session attend marissa meyer later today given,,No emotion toward brand or product
424,excellent deck nth time lucky google's new social network launch maybe,,No emotion toward brand or product
425,default state user leisurely contemplative ipad,,No emotion toward brand or product
426,mobile definitely hot topic year every session standing room next lesson learnt building netflix iphone app,,No emotion toward brand or product
427,apple deliberately chose march 11 ipad availability knowing large chunk customer base,,No emotion toward brand or product
428,google tv demo league extraordinary hacker cool stuff like web apps tv google lxh,Other Google product or service,Positive emotion
429,best ipad design big chunky element generous space clarity trump density tap quality trump tap quantity tapworthy,iPad,Positive emotion
430,attending designing ipad interface new navigation schema great stuff far,iPad,Positive emotion
431,attending designing ipad interface new navigation schema akqa's lynn teo ballroom yes hiring,,No emotion toward brand or product
432,check designing android sxsw uxamandroid,,No emotion toward brand or product
433,check designing ipad interface new navigation schema uxdes,,No emotion toward brand or product
434,check designing ipad interface new navigation schema sxsw uxdes,,No emotion toward brand or product
435,headed designing ipad interface new navigation schema sxsw uxdes,,No emotion toward brand or product
436,taking designing ipad interface new navigation schema sxsw uxdes,,No emotion toward brand or product
437,adobe developed engine essentially convert swf file jquery html5 existing flash file portable ipad,,No emotion toward brand or product
438,i'm developer awesome name event join league extraordinary h4ckers,,No emotion toward brand or product
439,behaviour diff lot phone call using ipad laptop notsomuch mobile internet,,No emotion toward brand or product
440,lovin digital band sings iphone play guitar app fan record vids ipad2s cnn digital cnngrill,,Positive emotion
442,barry diller think ipad content nut,iPad,Negative emotion
443,really need another big social network right thanks google,Other Google product or service,Positive emotion
444,q2 think google's check offer testing smccolumbus,,No emotion toward brand or product
445,japan docomo introduced mobile apps six year apple came app store jpmobilesummit,Apple,Negative emotion
446,time apple store open pulling ipad2 trigger,,No emotion toward brand or product
447,forget come privacybootcamp startup,,No emotion toward brand or product
448,forget come privacybootcamp startup acc 9abc 30 cst,,No emotion toward brand or product
449,bad button know time abnormal amount app update iphone,,No emotion toward brand or product
450,web devs wait line ipad signup new relic using promo sxsw2011 eligible win one,,No emotion toward brand or product
451,download 20 free track music sampler available store today,,No emotion toward brand or product
452,download 20 free track music sampler available store today,,No emotion toward brand or product
453,download 20 free track music sampler available store today fb,,No emotion toward brand or product
454,downloadfree track music sampler available green lady killer,,No emotion toward brand or product
455,guess drew bigger crowd chimp could work iphone sorry,,No emotion toward brand or product
456,jeez guy dunno apple pop gold's gym realize un job aesthetic apple,Apple,Negative emotion
457,anyone else using hashable network week trying android version,,No emotion toward brand or product
458,enjoy ride anywhere austin 10 download groundlink app booth 437,,No emotion toward brand or product
459,enjoy ride anywhere austin 10 dwnld groundlink booth 437,,No emotion toward brand or product
460,even begin apple winning,,No emotion toward brand or product
461,even begin apple win tc apple,Apple,Positive emotion
462,even begin apple win,Apple,Positive emotion
463,even begin apple win opening temporary store downtown austin support ipad2 launch genius,Apple,Positive emotion
464,even begin apple win past week s major dilemma _,,No emotion toward brand or product
465,even begin apple win techcrunch ipad,Apple,Positive emotion
466,even begin apple win,Apple,Positive emotion
467,even begin apple win,Apple,Positive emotion
468,even begin apple win,Apple,Positive emotion
469,even begin apple win,Apple,Positive emotion
470,even begin apple win,Apple,Positive emotion
471,even begin apple win,Apple,Positive emotion
472,even begin apple win,Apple,Positive emotion
473,even begin apple gt gonna get sum,Apple,Positive emotion
474,even begin apple win sxsw techcrunch,Apple,Positive emotion
475,even begin apple win sxsw lt lt win big,Apple,Positive emotion
476,even begin apple win sxsw apple ipad2 pm,Apple,Positive emotion
477,even begin apple win sxsw apple ipad2 tc,Apple,Positive emotion
478,even begin apple winssxsw apple,Apple,Positive emotion
479,even begin apple win sxsw tc apple ipad2,Apple,Positive emotion
480,even begin apple winssxsw apple,Apple,Positive emotion
481,even begin apple win sxsw apple,Apple,Positive emotion
482,badgeless event free drink heading free google sponsored happy hour semantic web austin fogo de cho,Google,Positive emotion
483,best swag ever thanks charging iphone thanks,iPhone,Positive emotion
484,thanks everyone making great day shop today austin come see u tomorrow,,No emotion toward brand or product
485,thanks everyone came today good luck winning ipad stop tomorrow chance win,,No emotion toward brand or product
486,timing everything ipad brand winner sxsw pnid,iPad,Positive emotion
487,hey exhibitor capture booth experience retrollect disc popular disc win ipad,iPad,Positive emotion
489,4sq see facebook google competition checkins,,No emotion toward brand or product
490,fantastic schedule app iphone bummer still crackberry,iPad or iPhone App,Positive emotion
491,photo far best accessory ipad followed closely margarita,iPad,Positive emotion
